Id,PlanReference,Location_x,Location_y,Level,Strength,Dimensions_l,Dimensions_w,Dimensions_h,Liveload,TypeOfElement,RebarDiameterTop,RebarAmountTop,RebarDiameterBottom,RebarAmountBottom,Condition,Img,Rebound1,Rebound2,Rebound3,Rebound4,Rebound5,Rebound6
73,A-D/7-12,5100,900,1,C25/30,3600,2377,180,2,HC,12.5,0,12.5,8,,,,,,,,
74,A-D/13-18,8700,900,1,C25/30,3600,2377,180,2,HC,12.5,0,12.5,8,,,,,,,,
75,A-D/19-24,12300,900,1,C25/30,3600,2377,180,2,HC,12.5,0,12.5,8,,,,,,,,
76,A-D/25-32,16500,900,1,C25/30,4800,2377,180,2,HC,12.5,0,12.5,8,,,,,,,,
77,A-D/33-40,21300,900,1,C25/30,4800,2377,180,2,HC,12.5,0,12.5,8,,,,,,,,
78,A-D/41-46,25500,900,1,C25/30,3600,2377,180,2,HC,12.5,0,12.5,8,,,,,,,,
79,A-D/47-52,29100,900,1,C25/30,3600,2377,180,2,HC,12.5,0,12.5,8,,,,,,,,
80,A-D/53-60,33300,900,1,C25/30,4800,2377,180,2,HC,12.5,0,12.5,8,,,,,,,,
81,A-D/61-68,38100,900,1,C25/30,4800,2377,180,2,HC,12.5,0,12.5,8,,,,,,,,
82,A-D/69-74,42300,900,1,C25/30,3600,2377,180,2,HC,12.5,0,12.5,8,,,,,,,,
83,A-D/75-80,45900,900,1,C25/30,3600,2377,180,2,HC,12.5,0,12.5,8,,,,,,,,
84,A-D/81-86,49500,900,1,C25/30,3600,2377,180,2,HC,12.5,0,12.5,8,,,,,,,,
85,A-D/87-92,53100,900,1,C25/30,3600,2377,180,2,HC,12.5,0,12.5,8,,,,,,,,
